,player,fc
0,@atlhawks,1036430
1,@nbakicks,468488
2,@1ngram4,2044220
3,@adidashoops,3014322
4,@ry_arch15,77292
5,@NBAonTNT,3990923
6,@seattlestorm,61332
7,@bull1trc,176924
8,@thebledshow,594216
9,@leaninorg,175289
10,@billiejeanking,54626
11,@wisconsinherd,29720
12,@nbaonespn*,0
13,@laurimarkkanen,313065
14,@Spurs,2703883
15,@jdot43,168204
16,@collinyoungbull,747937
17,@rosgo21,227477
18,@noahgphotos,53602
19,@bradbeal3,940967
20,@LongIslandNets,10996
21,@asphaltchronicles,32070
22,@gtemp17,39881
23,@gabunion,13251899
24,@OKCThunder,4284847
25,@instagram,305583360
26,@RealJayWilliams,270728
27,@terrellowens,377854
28,@matthewdelly,439684
29,@tristanj22,1283518
30,@WashWizards,1076075
31,@nbatv,5279484
32,@NBASummerLeague,185969
33,@YgTrece,7918333
34,@stanimal,299221
35,@thanasis_ante43,441302
36,@c_will_21,18966
37,@lesdogggg,1250507
38,@milesbridges,284314
39,@mollysullivantv,18991
40,@dorisaburke,57444
41,@kpthrive,18434
42,@mozg25,195053
43,@DwightHoward,1987446
44,@khembirch,10393
45,@littlechrisp,302845
46,@realgranthill,308378
47,@solohill,27749
48,@reggie_jackson,142962
49,@empirestatebldg,409852
50,@tiphayes3,33706
51,@nbacares,584894
52,@kingrawle,307203
53,@kobebryant,9868621
54,@jarrettjack03,111641
55,@okcthunder,4284848
56,@nuggets,966970
57,@money23green,3381052
58,@iisuperwomanii,8891058
59,@trailblazers,1489081
60,@3tross1,355468
61,@dsabonis11,119644
62,@rich_holmes22,48280
63,@channingfrye,312363
64,@michaelbjordan,11071686
65,@al_horford,0
66,@SLCStars,8218
67,@nvonleh,0
68,@burniemiamiheat,24209
69,@mgmresortsintl,73009
70,@atf_33,169736
71,@freshfocussports,2677
72,@Giannis_An34,5327797
73,@DejounteMurray,722519
74,@h_sims14,4304
75,@courtneylee,155874
76,@zachcollins_33,91342
77,@fibawc,240740
78,@lsubasketball,60839
79,@natlyphoto,81443
80,@sloot22,14434
81,@rickandmorty,3321191
82,@ds17_fg,1504365
83,@kingjames,50121359
84,@ains_mn,227308
85,@bossmann99,401971
86,@Suns,1095251
87,@stephencurry30,26050538
88,@shaq,12224120
89,@jcamerato,6801
90,@rmfycharlotte,1035
91,@AmericanExpress,359466
92,@normanpowell4,258443
93,@spencerdinwiddie,171726
