,player,fc
0,@bronzewhale,8959
1,@mb3five,595353
2,@danilogallogallinari,341964
3,@statefarm,47259
4,@realtristan13,3050889
5,@jrue_holiday11,210802
6,@realjaywilliams,275681
7,@alexlen_21,41267
8,@ygtrece,8011255
9,@Raptors905,63647
10,@swipathefox,1311953
11,@JHarden13,9840393
12,@roadtoriches_0,23048
13,@MGMResortsIntl,73490
14,@troywilliams_,41234
15,@bosnianbeast27,397169
16,@iamjamiefoxx,7240218
17,@kingjames,50411571
18,@masfresco,98640
19,@iam_j3,31540
20,@capitalcitygogo,7839
21,@thebledshow,595869
22,@stephensonlance,1870148
23,@meyersleonard11,133
24,@khembirch,10426
25,@lsubasketball,61007
26,@treydaviis,4588
27,@jjwatt,3605727
28,@jasonwilliams55,236045
29,@pr00fessortrill,589090
30,@bam1of1,208750
31,@dlamarc33,14483
32,@furkankorkkmaz,1465
33,@kumhotireusa,6751
34,@thanasis_ante43,482588
35,@skal_lab,92930
36,@MiamiHEAT,3471794
37,@Spurs_Austin,31035
38,@officialzobrown,27799
39,@javalemcgee,1326806
40,@ianou76,52835
41,@dulenader2,52037
42,@juanchiviris41,71148
43,@laclippers,2255523
44,@SacramentoKings,1172045
45,@bobimarjanovic13,338
46,@pharrell,12210222
47,@wayneseldenjr,92402
48,@carmeloanthony,6595056
49,@tpinsonn,127374
50,@NBASummerLeague,233634
51,@kobebryant,9931740
52,@BudweiserUSA,72601
53,@northcoastbluechips,94578
54,@ipjh55,27429
55,@lindsaywhalen,42687
56,@chelseafc,17588273
57,@tomasatoransky,69856
58,@supermariohezonja,83796
59,@fchwpo,1058754
60,@okarowhite,24250
61,@americanairlinesarena,67899
62,@andredrummondd,1122070
63,@jimmybutler,4367054
64,@nbastore,568889
65,@fergski23,47075
66,@MooreMaya,241640
67,@common,3001279
68,@taureanprince,159405
69,@3tross1,356154
70,@normanpowell4,266755
71,@josh_j11,316540
72,@dbacon,226918
73,@joeharris__12,63332
74,@spurs_austin,31035
75,@espn,13296553
76,@the_4th_holiday,62187
77,@jmcalderon8,98745
78,@quavohuncho,13285126
79,@dickssportinggoods,395130
80,@tharealjsimms,119694
81,@cmohutchison,37733
82,@NBA2K,3024610
83,@KendrickLamar,9513497
84,@rjanderson33,62631
85,@nemanjabjelica8,79346
86,@louwillville,929077
87,@graysonjallen,463148
88,@therealpjtucker17,48
89,@troybrown,33
90,@brlive,36515
91,@lakers,8639338
92,@kkorv26,721214
93,@keefmorris5,0
94,@musicbybalance,1300
95,@imisiahthomas,0
96,@rich_holmes22,48539
97,@google,10320772
98,@dwyanewade,14146892
99,@atf_33,169846
100,@littlechrisp,302523
101,@sportsillustrated,1279435
102,@alexbazzell24,37711
103,@nbaontnt,4062249
104,@magicjohnson,1842127
105,@deandre,2127171
106,@teamswish,4391089
107,@spiceadams,1276356
108,@utahjazzsl,0
109,@NBAAcademy,89353
110,@tic_pix,868500
111,@migos,10203249
112,@detroitpistons,930998
113,@cediosman,578814
114,@greenranger14,893247
115,@oraclearena,141571
116,@ishsmith5,41085
117,@NBAGLeague,777242
118,@damianlillard,6140547
119,@mbeasy5,89600
120,@asphaltchronicles,32105
121,@ManuGinobili,1121902
122,@antezizic,60295
123,@laurimarkkanen,312579
124,@lesdogggg,1250216
125,@melvinjrr,23730
126,@balapat,349074
127,@_tonyparker09,465828
128,@nbasummerleague,233638
129,@reellyphent,319
130,@dougmcd03,293845
131,@bensimmons,4321221
132,@tjmcconnell,129404
133,@1tyus,403767
134,@juniorknicks,3595
135,@aplayersprogram,79946
136,@mozg25,194512
137,@BenSimmons,4321221
138,@breannastewart30,175720
139,@kristenledlow,246027
140,@wayne_elli,0
141,@LindsayWhalen,42687
142,@bigticket_hg,350
143,@champagnepapi,58672009
144,@treylyles,167364
145,@gatorsmbk,58997
146,@NBAHistory,3362097
147,@KlayThompson,6745591
148,@isaiahthomas,3658993
149,@Warriors,12459072
150,@brandonknight,156807
151,@mgortat13,160810
152,@officialzhouqi,66582
153,@footlocker,10289789
154,@jeffteague,122456
155,@pushat305,9616
156,@dozier_kid,37319
157,@rayemmanuel,109610
158,@tessamaethompson,2828315
159,@dtheis10,97386
160,@youngheirgordon,982261
161,@Timberwolves,1569332
162,@kareemabduljabbar_33,762022
163,@adr13nsanmiguel,101087
164,@hami,1626
165,@puresweat,127978
166,@dominiquewilkins21,131115
167,@kknox_23,318709
168,@therea1djones,231259
169,@Money23Green,3421989
170,@freshfocussports,2744
171,@3dtv,5602
172,@adbphotoinc,89405
173,@nenehilario_42,169618
174,@JoelEmbiid,3645162
175,@jaytatum0,2450426
176,@hunter_games31,57009
177,@realgranthill,309719
178,@theqarena,470
179,@gwephoto,29919
180,@kporzee,1617006
181,@bennythebull,246464
182,@sterlingbrown23,84230
183,@justintimberlake,55822385
184,@janellemonae,3189631
185,@AmericanExpress,361326
186,@dillonbrooks24,119051
187,@dloading,3202730
188,@DallasMavs,1267919
189,@matrix31,129278
190,@jayloaded0,26811
191,@hoophall,338052
192,@kellyolynyk,161189
193,@Mobil1,19460
194,@callme_nonstop,71100
195,@g,0
196,@longislandnets,10982
197,@twitch,3455992
198,@44bojan,77729
199,@cwallacelac,637
200,@rgvvipers,14973
201,@michaelbjordan,11226696
202,@taylorbennett,259190
203,@deanthony_melton,24979
204,@demar_derozan,2496868
205,@stevenadams,408308
206,@kennethfaried35,518668
